"Donorregistratie";"Persoonskenmerken";"Perioden";"Donorregister, vastgelegde keuze (x 1 000)"
"Geregistreerd in donorregister";"Totale bevolking van 12 jaar en ouder";"2014";"  5768.6"
"Geregistreerd in donorregister";"Totale bevolking van 12 jaar en ouder";"2015";"  5814.5"
"Geregistreerd in donorregister";"Totale bevolking van 12 jaar en ouder";"2016";"  5865.6"
"Geregistreerd in donorregister";"Totale bevolking van 12 jaar en ouder";"2017";"  6057.6"
"Geregistreerd in donorregister";"Totale bevolking van 12 jaar en ouder";"2018";"  6317.8"
"Geregistreerd in donorregister";"Totale bevolking van 12 jaar en ouder";"2019";"  6373.9"
"Geregistreerd in donorregister";"Totale bevolking van 12 jaar en ouder";"2020";"  6933.6"
"Geregistreerd in donorregister";"Totale bevolking van 12 jaar en ouder";"2021";" 13907.5"
"Geregistreerd in donorregister";"Totale bevolking van 12 jaar en ouder";"2022*";" 14019.3"
"Toestemming zonder donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2014";"  2796.3"
"Toestemming zonder donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2015";"  2827.9"
"Toestemming zonder donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2016";"  2869.7"
"Toestemming zonder donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2017";"  2888.6"
"Toestemming zonder donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2018";"  2919.6"
"Toestemming zonder donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2019";"  2917.3"
"Toestemming zonder donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2020";"  2981.1"
"Toestemming zonder donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2021";"  3563.3"
"Toestemming zonder donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2022*";"  3555.5"
"Toestemming met donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2014";"   686.8"
"Toestemming met donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2015";"   708.4"
"Toestemming met donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2016";"   733.8"
"Toestemming met donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2017";"   750.9"
"Toestemming met donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2018";"   776.0"
"Toestemming met donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2019";"   781.9"
"Toestemming met donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2020";"   848.3"
"Toestemming met donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2021";"  1263.1"
"Toestemming met donatiebeperkingen";"Totale bevolking van 12 jaar en ouder";"2022*";"  1278.1"
"Geen toestemming";"Totale bevolking van 12 jaar en ouder";"2014";"  1582.2"
"Geen toestemming";"Totale bevolking van 12 jaar en ouder";"2015";"  1574.2"
"Geen toestemming";"Totale bevolking van 12 jaar en ouder";"2016";"  1556.2"
"Geen toestemming";"Totale bevolking van 12 jaar en ouder";"2017";"  1708.3"
"Geen toestemming";"Totale bevolking van 12 jaar en ouder";"2018";"  1900.3"
"Geen toestemming";"Totale bevolking van 12 jaar en ouder";"2019";"  1949.6"
"Geen toestemming";"Totale bevolking van 12 jaar en ouder";"2020";"  2324.9"
"Geen toestemming";"Totale bevolking van 12 jaar en ouder";"2021";"  4351.2"
"Geen toestemming";"Totale bevolking van 12 jaar en ouder";"2022*";"  4383.4"
"Nabestaanden beslissen";"Totale bevolking van 12 jaar en ouder";"2014";"   600.8"
